carat,cut,color,clarity,depth,table,price,x,y,z
0.41,Premium,G,VVS1,59.7,60.0,1074,4.83,4.85,2.89
1.04,Premium,F,VVS2,62.1,56.0,8610,6.54,6.48,4.04
1.04,Premium,G,VS2,60.1,59.0,6589,6.56,6.59,3.95
0.74,Fair,H,VS2,66.1,61.0,2553,5.6,5.57,3.69
0.45,Premium,F,VS2,61.4,60.0,945,4.93,4.87,3.01
1.5,Ideal,I,VVS2,60.3,57.0,10907,7.43,7.47,4.49
1.13,Very Good,E,SI2,63.4,59.0,5147,6.53,6.59,4.16
0.34,Very Good,D,SI1,62.0,59.0,626,4.42,4.48,2.76
1.35,Very Good,I,VS2,62.1,62.0,6961,6.97,7.05,4.35
1.02,Premium,G,VS2,59.8,58.0,6169,6.58,6.54,3.92
0.37,Premium,G,IF,59.8,58.0,1064,4.71,4.69,2.81
1.05,Ideal,H,SI2,61.8,58.0,4604,6.52,6.55,4.04
0.41,Ideal,F,VS1,61.9,57.0,1076,4.77,4.73,2.94
0.54,Good,H,VS1,63.2,58.0,1361,5.12,5.16,3.25
1.51,Ideal,J,VS2,61.1,57.0,8033,7.36,7.3,4.48
1.04,Ideal,G,SI2,63.1,55.0,4414,6.45,6.52,4.09
0.42,Ideal,G,VS1,61.2,54.0,984,4.86,4.82,2.96
0.36,Premium,D,SI2,61.2,59.0,537,4.56,4.59,2.8
0.74,Ideal,F,VVS2,61.5,55.0,3879,5.85,5.82,3.59
0.88,Premium,D,SI2,60.9,61.0,3390,6.16,6.13,3.74
0.52,Ideal,G,VVS2,61.0,56.0,2012,5.24,5.18,3.18
2.21,Ideal,D,SI2,62.0,57.0,16558,8.36,8.31,5.18
1.58,Ideal,I,VS2,61.1,55.0,10338,7.48,7.53,4.59
1.2,Ideal,I,VS1,59.3,57.0,5765,6.95,7.04,4.15
0.3,Premium,D,SI1,62.2,58.0,709,4.31,4.28,2.67
0.37,Premium,F,VS2,60.6,58.0,746,4.63,4.67,2.82
0.76,Very Good,I,SI1,57.5,62.0,2316,6.03,6.08,3.48
0.52,Ideal,D,SI2,62.5,56.0,1289,5.08,5.12,3.19
