,passengers,time
0,112,1949-Jan
1,118,1949-Feb
2,132,1949-Mar
3,129,1949-Apr
4,121,1949-May
5,135,1949-Jun
6,148,1949-Jul
7,148,1949-Aug
8,136,1949-Sep
9,119,1949-Oct
10,104,1949-Nov
11,118,1949-Dec
12,115,1950-Jan
13,126,1950-Feb
14,141,1950-Mar
15,135,1950-Apr
16,125,1950-May
17,149,1950-Jun
18,170,1950-Jul
19,170,1950-Aug
20,158,1950-Sep
21,133,1950-Oct
22,114,1950-Nov
23,140,1950-Dec
24,145,1951-Jan
25,150,1951-Feb
26,178,1951-Mar
27,163,1951-Apr
28,172,1951-May
29,178,1951-Jun
30,199,1951-Jul
31,199,1951-Aug
32,184,1951-Sep
33,162,1951-Oct
34,146,1951-Nov
35,166,1951-Dec
36,171,1952-Jan
37,180,1952-Feb
38,193,1952-Mar
39,181,1952-Apr
40,183,1952-May
41,218,1952-Jun
42,230,1952-Jul
43,242,1952-Aug
44,209,1952-Sep
45,191,1952-Oct
46,172,1952-Nov
47,194,1952-Dec
48,196,1953-Jan
49,196,1953-Feb
50,236,1953-Mar
51,235,1953-Apr
52,229,1953-May
53,243,1953-Jun
54,264,1953-Jul
55,272,1953-Aug
56,237,1953-Sep
57,211,1953-Oct
58,180,1953-Nov
59,201,1953-Dec
60,204,1954-Jan
61,188,1954-Feb
62,235,1954-Mar
63,227,1954-Apr
64,234,1954-May
65,264,1954-Jun
66,302,1954-Jul
67,293,1954-Aug
68,259,1954-Sep
69,229,1954-Oct
70,203,1954-Nov
71,229,1954-Dec
72,242,1955-Jan
73,233,1955-Feb
74,267,1955-Mar
75,269,1955-Apr
76,270,1955-May
77,315,1955-Jun
78,364,1955-Jul
79,347,1955-Aug
80,312,1955-Sep
81,274,1955-Oct
82,237,1955-Nov
83,278,1955-Dec
84,284,1956-Jan
85,277,1956-Feb
86,317,1956-Mar
87,313,1956-Apr
88,318,1956-May
89,374,1956-Jun
90,413,1956-Jul
91,405,1956-Aug
92,355,1956-Sep
93,306,1956-Oct
94,271,1956-Nov
95,306,1956-Dec
96,315,1957-Jan
97,301,1957-Feb
98,356,1957-Mar
99,348,1957-Apr
100,355,1957-May
101,422,1957-Jun
102,465,1957-Jul
103,467,1957-Aug
104,404,1957-Sep
105,347,1957-Oct
106,305,1957-Nov
107,336,1957-Dec
108,340,1958-Jan
109,318,1958-Feb
110,362,1958-Mar
111,348,1958-Apr
112,363,1958-May
113,435,1958-Jun
114,491,1958-Jul
115,505,1958-Aug
116,404,1958-Sep
117,359,1958-Oct
118,310,1958-Nov
119,337,1958-Dec
120,360,1959-Jan
121,342,1959-Feb
122,406,1959-Mar
123,396,1959-Apr
124,420,1959-May
125,472,1959-Jun
126,548,1959-Jul
127,559,1959-Aug
128,463,1959-Sep
129,407,1959-Oct
130,362,1959-Nov
131,405,1959-Dec
132,417,1960-Jan
133,391,1960-Feb
134,419,1960-Mar
135,461,1960-Apr
136,472,1960-May
137,535,1960-Jun
138,622,1960-Jul
139,606,1960-Aug
140,508,1960-Sep
141,461,1960-Oct
142,390,1960-Nov
143,432,1960-Dec
